Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_light_20,284713,True
statics results
area(%),count
0,19
0.1,12
0.2,17
0.3,10
0.4,5
0.5,8
0.6,3
0.8,5
0.9,2
1,6
2,1
3,1
8,1
Raw Data
hash,area(%),isTriggered
-30274,0.1452,0
-30288,0.0374,0
-30302,0.0206,0
-30316,0.2373,0
-30330,1.4121,0
-30344,0.3603,0
-30358,0.3727,0
-30372,0.0367,0
-30386,0.3960,0
-30400,0.4556,0
-30414,8.0714,0
-30428,0.2955,0
-30442,0.2160,0
-30456,0.1591,0
-30470,0.2385,0
-30484,0.2935,0
-30498,0.5379,0
-30512,0.1183,0
-30526,0.3205,0
-30540,0.2484,0
-30554,0.0899,0
-30568,0.3770,0
-30582,0.5407,0
-30596,0.2782,0
-30610,0.8942,0
-30624,0.2556,0
-30638,0.2577,0
-30652,2.4913,0
-30666,0.5003,0
-30680,0.2914,0
-30694,0.0294,0
-30708,0.0869,0
-30722,0.0744,0
-30736,0.0919,0
-30750,1.1772,0
-30764,0.0366,0
-30778,0.0263,0
-30792,0.0894,0
-30806,0.4491,0
-30820,0.5057,0
-30834,0.1792,0
-30848,0.4680,0
-30862,0.1639,0
-30876,0.3502,0
-30890,0.1814,0
-30904,0.8657,0
-30918,1.1151,0
-30932,0.2605,0
-30946,0.5293,0
-30960,0.1695,0
-30974,0.1424,0
-30988,1.2121,0
-31002,0.3997,0
-31016,0.6266,0
-31030,0.8370,0
-31044,0.8544,0
-31058,0.6145,0
-31072,1.1623,0
-31086,3.0017,0
-31100,0.6635,0
-31114,0.0230,0
-31128,0.0370,0
-31142,0.0679,0
-31156,0.3871,0
-31170,0.2249,0
-31184,0.0810,0
-31198,0.1583,0
-31212,0.0376,0
-31226,0.0501,0
-31240,1.2565,0
-31254,0.1324,0
-31268,0.2805,0
-31282,0.5995,0
-31296,0.0939,0
-31310,0.3523,0
-31324,0.2711,0
-31338,0.5018,0
-31352,0.2977,0
-31366,0.1327,0
-31380,0.2582,0
-31394,0.1799,0
-31408,0.5296,0
-31422,0.8371,0
-31436,0.0685,0
-31450,0.9830,0
-31464,0.9910,0
-31478,0.2606,0
-31492,0.3112,0
-31506,0.4248,0
-31520,0.4548,0
