Target Percent,0.00
dataPresets,SEEDs,randomPos
Study1Task2_DataPreset_0727_light_60,284713,True
statics results
area(%),count
0,7
0.1,13
0.2,11
0.3,6
0.4,4
0.5,2
0.6,5
0.7,1
0.8,1
0.9,1
1,7
2,2
Raw Data
hash,area(%),isTriggered
-123450,0.5305,0
-123464,0.0997,0
-123478,0.2922,0
-123492,1.1264,0
-123506,0.8384,0
-123520,0.3827,0
-123534,0.6264,0
-123548,0.1720,0
-123562,0.2905,0
-123576,0.1282,0
-123590,0.3847,0
-123604,0.2383,0
-123618,0.3093,0
-123632,0.4417,0
-123646,0.2697,0
-123660,0.2128,0
-123674,1.2850,0
-123688,0.6684,0
-123702,1.7817,0
-123716,0.7944,0
-123730,0.0256,0
-123744,0.1497,0
-123758,0.1519,0
-123772,0.1128,0
-123786,0.6282,0
-123800,0.0667,0
-123814,0.0694,0
-123828,1.0779,0
-123842,0.1555,0
-123856,0.1176,0
-123870,0.0851,0
-123884,0.4291,0
-123898,0.4851,0
-123912,0.2217,0
-123926,1.0511,0
-123940,0.0947,0
-123954,0.1832,0
-123968,0.2250,0
-123982,1.4701,0
-123996,1.7262,0
-124010,0.0282,0
-124024,0.1254,0
-124038,0.1201,0
-124052,0.2382,0
-124066,0.3001,0
-124080,0.3145,0
-124094,0.3395,0
-124108,0.2382,0
-124122,0.6101,0
-124136,0.1672,0
-124150,0.1074,0
-124164,0.9037,0
-124178,0.2690,0
-124192,0.5354,0
-124206,0.2606,0
-124220,0.4458,0
-124234,0.1953,0
-124248,2.3667,0
-124262,2.1586,0
-124276,0.6481,0
